,feature,original_feature,importance
0,dep_ROOT,dep,0.0007465633
1,dep_advcl,dep,0.00063295953
2,dep_advmod,dep,0.003075649
3,dep_ccomp,dep,0.0014075862
4,dep_conj,dep,0.0
5,dep_iobj,dep,0.0006450862
6,dep_nao_tem_dep,dep,0.0074087176
7,dep_nsubj,dep,0.030737666
8,dep_nsubj:pass,dep,0.003707704
9,dep_obj,dep,0.009052835
10,dep_obl,dep,0.0024636828
11,dep_parataxis,dep,0.0
12,dep_xcomp,dep,0.0029602726
13,"parent_text_,",parent_text,0.0
14,parent_text_Chegamos,parent_text,0.0
15,parent_text_Chegaram,parent_text,0.0
16,parent_text_Confundem,parent_text,0.0
17,parent_text_Da,parent_text,0.0
18,parent_text_Entre,parent_text,0.0
19,parent_text_Estamos,parent_text,0.0
20,parent_text_Ficaram,parent_text,0.0
21,parent_text_Iam,parent_text,0.0
22,parent_text_Ir,parent_text,0.0
23,parent_text_Li,parent_text,0.0
24,parent_text_Retorna,parent_text,0.00075550505
25,parent_text_Sai,parent_text,0.0
26,parent_text_Subiu,parent_text,0.00023306067
27,parent_text_Trabalhávamos,parent_text,0.0
28,parent_text_Vamos,parent_text,0.0
29,parent_text_Vim,parent_text,0.0
30,parent_text_aberta,parent_text,0.0
31,parent_text_aberto,parent_text,0.0
32,parent_text_abertos,parent_text,0.0
33,parent_text_aluga,parent_text,0.0
34,parent_text_alugam,parent_text,0.0
35,parent_text_ao,parent_text,0.0
36,parent_text_apresentava,parent_text,0.0
37,parent_text_assinando,parent_text,0.0
38,parent_text_atuaram,parent_text,0.0
39,parent_text_aumentando,parent_text,0.0
40,parent_text_cair,parent_text,0.0
41,parent_text_caiu,parent_text,0.0
42,parent_text_caíram,parent_text,0.0
43,parent_text_chega,parent_text,0.0
44,parent_text_chegamos,parent_text,0.0
45,parent_text_chegaram,parent_text,0.00044371496
46,parent_text_chegassem,parent_text,0.0
47,parent_text_chego,parent_text,0.0
48,parent_text_chegou,parent_text,0.0
49,parent_text_chegue,parent_text,0.0
50,parent_text_condenado,parent_text,0.0
51,parent_text_condenar,parent_text,0.0
52,parent_text_confunda,parent_text,0.0
53,parent_text_confundi,parent_text,0.0
54,parent_text_confundido,parent_text,0.0
55,parent_text_continua,parent_text,0.0
56,parent_text_continuam,parent_text,0.0
57,parent_text_continuar,parent_text,0.0
58,parent_text_continuará,parent_text,0.0
59,parent_text_conversar,parent_text,0.0
60,parent_text_crescerão,parent_text,0.0
61,parent_text_cresceu,parent_text,0.0
62,parent_text_criaram,parent_text,0.0
63,parent_text_cumprimentar,parent_text,0.0
64,parent_text_de,parent_text,0.0
65,parent_text_derrotar,parent_text,0.0
66,parent_text_deslocado,parent_text,0.0
67,parent_text_disparam,parent_text,0.0
68,parent_text_disputa,parent_text,0.0
69,parent_text_disputar,parent_text,0.0
70,parent_text_disputará,parent_text,0.0
71,parent_text_disse,parent_text,0.0
72,parent_text_distingue,parent_text,0.0
73,parent_text_diz,parent_text,0.0
74,parent_text_dizer,parent_text,0.0
75,parent_text_elevar,parent_text,0.0
76,parent_text_elevará,parent_text,0.0
77,parent_text_elevou,parent_text,0.0
78,parent_text_emitidos,parent_text,0.0
79,parent_text_empresas,parent_text,0.0
80,parent_text_encomendou,parent_text,0.0
81,parent_text_escolherá,parent_text,0.0
82,parent_text_escolhidas,parent_text,0.0
83,parent_text_escolhido,parent_text,0.0
84,parent_text_estabelecerá,parent_text,0.0
85,parent_text_estar,parent_text,0.0
86,parent_text_estava,parent_text,0.0
87,parent_text_estavam,parent_text,0.0
88,parent_text_esteve,parent_text,0.0
89,parent_text_está,parent_text,0.0
90,parent_text_estão,parent_text,0.0
91,parent_text_farei,parent_text,0.0
92,parent_text_fez,parent_text,0.0
93,parent_text_fica,parent_text,0.0
94,parent_text_ficar,parent_text,0.0
95,parent_text_ficou,parent_text,0.0
96,parent_text_foi,parent_text,0.0062263217
97,parent_text_foram,parent_text,0.0
98,parent_text_gastando,parent_text,0.0
99,parent_text_gastaram,parent_text,0.0
100,parent_text_gastou,parent_text,0.0044983877
101,parent_text_há,parent_text,0.00086708064
102,parent_text_indo,parent_text,0.0
103,parent_text_informou,parent_text,0.0
104,parent_text_ir,parent_text,0.0
105,parent_text_jogado,parent_text,0.0
